text,label
"money issue weigh thanks , breathe easier . I.ll make sure dont regret . Thanks .",0
buy blackberry bold 2 torch . buy new used . Let know . Plus saying buy & lt ; # & gt ; g wifi ipad . saying & lt ; # & gt ; g ?,0
friend use call .,0
Aah ! cuddle would lush ! 'd need lot tea soup kind fumbling !,0
Lol please . Actually send pic right . wan na see . Pose comb hair dryer something .,0
record one night ? : ),0
n't see shadow . get early spring yay,0
Come room point iron plan weekend,0
supposed meet discus abt trip ... Thought xuhui told ? afternoon . Thought go lesson,0
Yup,0
Dont pick call something important tell . Hrishi,0
Sorry mate phone didnt write love Kate,0
1Apple/Day=No Doctor . 1Tulsi Leaf/Day=No Cancer . 1Lemon/Day=No Fat . 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd th 2 U Care .. : - ),0
"Fuuuuck need stop sleepin , sup",0
"one day billion class , right ?",0
"Sorry , 'll call later",0
gr8 see message . r u leaving ? Congrats dear . school wat r ur plan .,0
Lol u come idea ?,0
Reply win £100 weekly ! 2006 FIFA World Cup held ? Send STOP 87239 end service,1
dont know oh . Hopefully month .,0
Hi Petey ! noim ok wanted 2 chat coz avent spoken 2 u 4 long time-hope ur doin alrite.have good nit j love ya am.x,0
"Sorry vikky , 'm Watching olave mandara movie kano trishul theatre wit frnds ..",0
Wow n't think common . take back ur freak ! Unless u chop : - ),0
Ok. Every night take warm bath drink cup milk 'll see work magic . still need loose weight . know,0
"Sorry , 'll call later",0
Lol yep yesterday . Already got fireplace . another icon sitting .,0
? ?,0
"Cant believe said many thing morning really wanted say good morning , love ! beautiful morning . See library later .",0
accidentally deleted message . Resend please .,0
PRIVATE ! 2004 Account Statement 07742676969 show 786 unredeemed Bonus Points . claim call 08719180248 Identifier Code : 45239 Expires,1
cant pick phone right . Pls send message,0
"Send ur birthdate month year , tel u ur LIFE PARTNER 'S name . method calculation . Reply must .",0
Ok .,0
"Ok would b lovely , u r sure . Think wot u want , drinkin , dancin , eatin , cinema , , , ... u ! Wot ?",0
'm sorry . 've joined league people dont keep touch . mean great deal . friend time even great personal cost . great week.|,0
"Get 3 Lions England tone , reply lionm 4 mono lionp 4 poly . 4 go 2 www.ringtones.co.uk , original n best . Tones 3GBP network operator rate apply .",1
train back northampton 'm afraid ! 'm staying skyving today ho ho ! around wednesday though . fancy comedy club week way ?,0
"Kind . missed train co asthma attack , nxt one half hr driving . sure park .",0
"Friendship game play , word say , doesn\'t start March end May , tomorrow , yesterday , today e",0
send email . mind & lt ; # & gt ; time per night ?,0
"FR'NDSHIP like needle clock . Though V r clock , V r nt able 2 met . Evn V meet , itz 4few second . Bt V alwys stay conected . Gud 9t ; - )",0
know ! Grumpy old people . mom like better lying . always one play joke ...,0
bus way calicut,0
"URGENT ! : Mobile . awarded £2,000 Bonus Caller Prize 02/09/03 ! 2nd attempt contact ! Call 0871-872-9755 BOX95QU",1
R u sure 'll understand ! Wine * good idea slurp !,0
"Fyi 'm taking quick shower , epsilon like & lt ; # & gt ; min",0
: - ) got rumour going buy apartment chennai : - ),0
"God picked flower dippeditinaDEW , lovingly touched itwhichturnedinto u , gifted tomeandsaid , FRIEND 4U",0
Hey angry . Reply dr .,0
responding,0
Hey company elama po mudyadhu .,0
Neshanth .. tel r u ?,0
. nosy guess . Idk reacting 'm freaked ?,0
Sorry dude . Dont know forgot . Even Dan reminded . Sorry . Hope guy fun .,0
probably & lt ; # & gt ; % .,0
cant pick phone right . Pls send message,0
SMS AUCTION - BRAND NEW Nokia 7250 4 auction today ! Auction FREE 2 join & take part ! Txt NOKIA 86021 !,1
"said kiss , kiss , ca n't sound effect ! gorgeous man n't ! Kind person need smile brighten day !",0
"Free entry gr8prizes wkly comp 4 chance win latest Nokia 8800 , PSP £250 cash every wk.TXT GREAT 80878 http//www.gr8prizes.com 08715705022",1
Hi Dear Call urgnt . n't know whats problem . n't want work problem least tell . Wating reply .,0
"Storming msg : Wen u lift phne , u say `` HELLO '' u knw wt real meaning HELLO ? ? . . . 's name girl .. ! . . . Yes .. u knw dat girl ? ? `` Margaret Hello '' girlfrnd f Grahmbell invnted telphone ... . . . . Moral : One 4get name person , bt girlfrnd ... G n g h . . . @",0
Sounds better evening im costume . Im sure time finish tomorrow txt end .,0
"Every King Crying Baby Every Great Building Map .. Imprtant U r TODAY , U Wil Reach TOMORW . Gud ni8",0
"Sure , 'll see come bit",0
r @ home come within 5 min,0
Join UK 's horniest Dogging service u sex 2nite ! . sign follow instruction . Txt ENTRY 69888 ! Nyt.EC2A.3LP.msg @ 150p,1
"usual .. iam fine , happy & amp ; well .. : )",0
's good . Lets thank God . Please complete drug . lot water . beautiful day .,0
fps .,0
Well welp sort semiobscure internet thing,0
"* nice day , impressively , sensible , went home early feel fine . boring ? ! 's , ca n't remember .",0
mind ask happened ? dont say uncomfortable .,0
